"","Date","Country","City","Killed","Injured","Description"
"1",2002-01-01,"Indonesia","Palu",1,0,"Four bombs explode at Christian churches and one man dies in a hand grenade attack in Jakarta."
"2",2002-01-01,"India","Baramulla",1,0,"Terrorists enter the home of a civilian and kill his wife."
"3",2002-01-01,"India","Poshkar",2,0,"Two civilians are abducted from their homes then executed by the Mujahideen."
"4",2002-01-02,"India","Rajouri",6,9,"Three separate terror attacks in the district leave a civilian and five security forces dead."
"5",2002-01-02,"India","Jehangir Chowk",2,25,"A Muslim militant kills two and injures twenty-five in a grenade attack on a city street."
"6",2002-01-03,"Pakistan","Karachi",1,0,"A cleric is gunned down in a sectarian attack."
"7",2002-01-04,"India","Kashmir",2,0,"Two civilians are abducted and killed by the Mujahideen in separate incidents (Badran and Kulgam)."
"8",2002-01-05,"India","Mahore",2,3,"An ambush on a security patrol leaves two members dead."
"9",2002-01-06,"India","Ramsu",3,12,"Three brothers are killed in their home by Lashkar-e-Toiba terrorists.  A dozen others are injured in the attack."
"10",2002-01-06,"India","Luddu",4,4,"Four civilians, three of whom were in the same family are gunned down when fleeing their home after Jaish-e-Mohammed cadres flush them out with grenades."
"11",2002-01-06,"USA","Tampa, FL",0,0,"Fifteen year-old flies plane into an office building in Tampa. Suicide note reveals his admiration for Osama Bin Laden and desire to commit a terrorist attack."
"12",2002-01-08,"India","Srinagar",1,2,"Soldier killed by two Mujahideen suicide attackers."
"13",2002-01-09,"Israel","Kerem Shalom",4,2,"Palestinian terrorists infiltrate border and kill four soldiers. Two others were wounded."
"14",2002-01-09,"Pakistan","Gulshan-i-Iqbal",1,0,"Government official is killed by Islamists."
"15",2002-01-10,"India","Bafliaz",1,0,"Terrorists kill a village official."
"16",2002-01-13,"India","Beerwah",1,0,"A civilian is murdered by the Mujahideen."
"17",2002-01-14,"India","Kashmir",6,3,"In separate attacks, three civilians are killed by Islamic militants.  A security checkpoint is attacked as well, with three security forces killed."
"18",2002-01-15,"Israel","Givat Ze-ev",1,1,"Woman killed near gas station. Her aunt is injured in the shooting attack by Palestinians."
"19",2002-01-15,"Israel","Beit Jala",1,0,"An American citizen is kidnapped then killed by Al-Aqsa Brigade."
"20",2002-01-15,"India","Keri",2,0,"A man and his wife are abducted and killed by Lashkar-e-Toiba."
"21",2002-01-16,"Indonesia","Malei",1,0,"A Christian man is gunned down by angry Muslims while collecting fruit."
"22",2002-01-16,"Pakistan","Lahore",0,5,"Five guards are injured in an Islamist attack on the airport."
