WP5 Country,country,Regional indicator,Ladder score,Standard error of ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Trust in national government,Democratic Quality 2012,Delivery Quality 2012,"Most people can be trusted, Gallup, mostly 2009-10","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
184 Switzerland,Switzerland,Western Europe,7.586999893,0.034111578,10.85728264,0.953136325,72.73686218,0.947723985,0.080692194,0.301402122,2.098976374,2.517383099,1.396505475,1.349505067,0.941432297,0.665573299,0.296775281,0.419776797,0.758918643,1.53458786,1.876428485,0.437881887,,0.265255481,0.378479093,,0.518936038,
130 Iceland,Iceland,Western Europe,7.56099987,0.048836131,10.5685339,0.97524035,72.96855927,0.912811399,0.257894844,0.741834044,2.098976374,2.702013016,1.30232358,1.402231097,0.947844326,0.62877208,0.436296731,0.141451374,0.322589606,1.337266326,1.521620154,,,,,,,
025 Denmark,Denmark,Western Europe,7.52699995,0.033283256,10.63952065,0.957779527,70.32339478,0.932365298,0.137351438,0.200448066,2.098976374,2.492041588,1.3254776,1.360580802,0.874641359,0.649383724,0.341386229,0.483573467,0.465452701,1.299622893,2.000510931,0.667515278,,,,,,
160 Norway,Norway,Western Europe,7.521999836,0.038801666,11.04887199,0.945359468,70.7052536,0.951669097,0.144467577,0.388028592,2.098976374,2.465311527,1.458996654,1.330954552,0.885209024,0.669731796,0.346989155,0.365034252,0.688396156,1.531618357,1.903924584,,,,0.647737384,,0.737304688,
046 Canada,Canada,North America and ANZ,7.427000046,0.035526033,10.64201641,0.941860437,71.44319153,0.916791618,0.285598069,0.444143742,2.098976374,2.451755524,1.326291561,1.322608113,0.905630887,0.632967591,0.458109021,0.329573005,0.492210895,1.268313885,1.780549288,0.450844079,,,,0.385469198,0.418500453,
121 Finland,Finland,Western Europe,7.406000137,0.031396613,10.53151321,0.940038919,70.84624481,0.92506963,0.000337604,0.310989916,2.098976374,2.619551182,1.290248513,1.318263054,0.889110863,0.641693413,0.233507648,0.413717896,0.492511153,1.501621962,2.049443245,0.596579492,0.571719229,,0.479229987,,0.580378592,
015 Netherlands,Netherlands,Western Europe,7.377999783,0.027985243,10.6516819,0.924070656,70.98093414,0.900468528,0.308452934,0.462236613,2.098976374,2.465703487,1.32944417,1.280173063,0.892838299,0.615761518,0.476103932,0.318139434,0.541644931,1.399068236,1.880602002,0.489837408,,,,,0.435723454,0.661756992
023 Sweden,Sweden,Western Europe,7.363999844,0.03156627,10.65862274,0.927800655,71.63234711,0.942244232,0.164319962,0.271875322,2.098976374,2.371190548,1.331708074,1.289070487,0.910865664,0.659797072,0.362620056,0.438435882,0.583863556,1.436961174,2.018341064,0.593124688,0.570789635,,0.565906823,0.637184501,0.679727852,0.607827246
055 New Zealand,New Zealand,North America and ANZ,7.285999775,0.033713408,10.40868282,0.940630615,71.54219055,0.922872722,0.307063699,0.286465794,2.098976374,2.264252186,1.250184655,1.319674492,0.908370614,0.639377654,0.475010067,0.42921564,0.613678098,1.499216437,1.957223415,,,,0.483870953,,0.511602223,0.562273264
047 Australia,Australia,North America and ANZ,7.28399992,0.040831193,10.66437435,0.936251402,72.37998199,0.934129834,0.25703004,0.401746958,2.098976374,2.266460419,1.333584189,1.309228539,0.931555867,0.651243746,0.435615838,0.356365114,0.440656304,1.249792933,1.780753732,,0.478149384,,0.39449206,,0.461379021,0.518140078
