Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (2.33) + residual,,,Figure 2.2: Ranking of Happiness 2013-2015
Denmark,7.526,7.592,7.460,1.441784382,1.163744926,0.795040131,0.57941258,0.361709565,0.444532186,2.739390373,,,
Switzerland,7.509,7.590,7.428,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723,2.694632053,,,
Iceland,7.501,7.669,7.333,1.426655412,1.183259368,0.867332816,0.566242337,0.476783901,0.149747416,2.831373215,,,
Norway,7.498,7.575,7.421,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,2.664645195,,,
Finland,7.413,7.475,7.351,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,2.825964928,,,
Canada,7.404,7.473,7.335,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997,2.704854488,,,
Netherlands,7.339,7.394,7.284,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067,2.707485199,,,
New Zealand,7.334,7.404,7.264,1.360661983,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779,2.475531578,,,
Australia,7.313,7.385,7.241,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561,2.546504498,,,
Sweden,7.291,7.355,7.227,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925,2.547340393,,,
Israel,7.267,7.335,7.199,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329,3.310285568,,,
Austria,7.119,7.193,7.045,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572,2.69342804,,,
United States,7.104,7.188,7.020,1.507962227,1.047815084,0.778997898,0.481630385,0.410768449,0.148683056,2.727815151,,,
Costa Rica,7.087,7.175,6.999,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144,3.351676702,,,
Puerto Rico,7.039,7.284,6.794,1.35943079,1.081130385,0.77758044,0.468232125,0.222022176,0.122752629,3.007603168,,,
Germany,6.994,7.058,6.930,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739,2.509305954,,,
Brazil,6.952,7.029,6.875,1.08754158,1.039377689,0.61415261,0.404254824,0.157763064,0.141658947,3.507328749,,,
Belgium,6.929,6.997,6.861,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789,2.613553524,,,
Ireland,6.907,6.978,6.836,1.483413577,1.161568046,0.814548731,0.540084302,0.449628145,0.29753685,2.159881592,,,
Luxembourg,6.871,6.938,6.804,1.69752419,1.039993048,0.845419347,0.548702359,0.275711238,0.353293061,2.110549927,,,
Mexico,6.778,6.876,6.680,1.115080833,0.714603782,0.711434186,0.377086431,0.117354617,0.183547229,3.559059143,,,
Singapore,6.739,6.804,6.674,1.645546436,0.867575824,0.947188199,0.48769936,0.327062637,0.469869375,1.993745804,,,
United Kingdom,6.725,6.803,6.647,1.402830243,1.086715817,0.809905171,0.500359237,0.501563191,0.273989618,2.149994373,,,
Chile,6.705,6.795,6.615,1.216696262,0.905871034,0.818833172,0.377893388,0.315953463,0.114507757,2.955049753,,,
Panama,6.701,6.801,6.601,1.183057308,0.989121318,0.708346546,0.489274472,0.241801292,0.084229752,3.005592108,,,
Argentina,6.650,6.740,6.560,1.15136528,1.06612432,0.697112739,0.422835112,0.109889276,0.072960153,3.129847288,,,
Czech Republic,6.596,6.677,6.515,1.309153438,1.007931709,0.763755083,0.41417706,0.099286601,0.03985557,2.96211338,,,
United Arab Emirates,6.573,6.652,6.494,1.573521495,0.871136844,0.729932189,0.56214571,0.265909791,0.355612397,2.215071678,,,
Uruguay,6.545,6.634,6.456,1.181572676,1.031425357,0.721826971,0.543876708,0.180556223,0.213936999,2.671386957,,,
Malta,6.488,6.567,6.409,1.307815313,1.098792076,0.803154051,0.549941838,0.56236583,0.17554386,1.990321636,,,
Colombia,6.481,6.578,6.384,1.030316114,1.021694183,0.596591532,0.447348237,0.156259283,0.053988829,3.174712181,,,
France,6.478,6.559,6.397,1.394883513,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541,2.474404812,,,
Thailand,6.474,6.552,6.396,1.08929646,1.044767976,0.649153352,0.495529205,0.586960733,0.028332459,2.579596519,,,
Saudi Arabia,6.379,6.471,6.287,1.489526391,0.848290741,0.592667282,0.379041046,0.154574409,0.300076246,2.61481595,,,
Taiwan,6.379,6.453,6.305,1.397285581,0.926242232,0.795653343,0.323774934,0.254951417,0.066301078,2.615226507,,,
Qatar,6.375,6.572,6.178,1.824265599,0.879637301,0.717229843,0.566785216,0.323877066,0.480493426,1.582241058,,,
Spain,6.361,6.434,6.288,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794,2.396626711,,,
Algeria,6.355,6.483,6.227,1.052660227,0.83308512,0.618043005,0.210056841,0.070441589,0.161569893,3.409041882,,,
Guatemala,6.324,6.435,6.213,0.834544599,0.871189952,0.540386319,0.503786147,0.288083464,0.087014526,3.198634386,,,
Suriname,6.269,6.465,6.073,1.096858859,0.778662622,0.50933373,0.522341907,0.166648671,0.12692143,3.068519354,,,
Kuwait,6.239,6.324,6.154,1.617141366,0.877582967,0.635688484,0.431660771,0.159652606,0.236691728,2.280853748,,,
Bahrain,6.218,6.308,6.128,1.440244079,0.94396764,0.656957924,0.473753095,0.171470031,0.257721454,2.27405262,,,
Trinidad and Tobago,6.168,6.386,5.950,1.325716496,0.985685587,0.526080966,0.484528571,0.319347799,0.012409157,2.513938427,,,
Venezuela,6.084,6.195,5.973,1.133673549,1.033022523,0.619042635,0.198472604,0.042504366,0.083041303,2.974676609,,,
Slovakia,6.078,6.160,5.996,1.279725552,1.082675695,0.703670502,0.233906135,0.138371661,0.029473193,2.610646963,,,
El Salvador,6.068,6.169,5.967,0.87369591,0.809750974,0.59600395,0.372685879,0.088773847,0.106125608,3.221339464,,,
